row_id,service,service_slug,keyword_group,keyword_slug,location,location_slug,market_scope,page_type,template_type,target_keyword,suggested_slug,parent_page_slug,priority,notes
21,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,London,london,city,role-based,service-page,Finance analyst London,finance-analyst-london,financial-reporting-london,P1,Location-specific target page
22,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,South East London,south-east-london,district,role-based,service-page,Finance analyst South East London,finance-analyst-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
23,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,East London,east-london,district,role-based,service-page,Finance analyst East London,finance-analyst-east-london,financial-reporting-east-london,P3,Location-specific target page
24,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,Manchester,manchester,city,role-based,service-page,Finance analyst Manchester,finance-analyst-manchester,financial-reporting-manchester,P2,Location-specific target page
25,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,City of London,city-of-london,district,role-based,service-page,Finance analyst City of London,finance-analyst-city-of-london,financial-reporting-city-of-london,P3,Location-specific target page
26,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,Westminster,westminster,district,role-based,service-page,Finance analyst Westminster,finance-analyst-westminster,financial-reporting-westminster,P3,Location-specific target page
27,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,Southwark,southwark,district,role-based,service-page,Finance analyst Southwark,finance-analyst-southwark,financial-reporting-southwark,P3,Location-specific target page
28,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,London Bridge,london-bridge,district,role-based,service-page,Finance analyst London Bridge,finance-analyst-london-bridge,financial-reporting-london-bridge,P3,Location-specific target page
29,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,King's Cross,kings-cross,district,role-based,service-page,Finance analyst King's Cross,finance-analyst-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
30,Financial Reporting,financial-reporting,Finance analyst,finance-analyst,Farringdon,farringdon,district,role-based,service-page,Finance analyst Farringdon,finance-analyst-farringdon,financial-reporting-farringdon,P3,Location-specific target page
31,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,London,london,city,deliverable,service-page,Monthly Budget London,monthly-budget-london,financial-reporting-london,P1,Location-specific target page
32,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,South East London,south-east-london,district,deliverable,service-page,Monthly Budget South East London,monthly-budget-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
33,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,East London,east-london,district,deliverable,service-page,Monthly Budget East London,monthly-budget-east-london,financial-reporting-east-london,P3,Location-specific target page
34,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,Manchester,manchester,city,deliverable,service-page,Monthly Budget Manchester,monthly-budget-manchester,financial-reporting-manchester,P2,Location-specific target page
35,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,City of London,city-of-london,district,deliverable,service-page,Monthly Budget City of London,monthly-budget-city-of-london,financial-reporting-city-of-london,P3,Location-specific target page
36,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,Westminster,westminster,district,deliverable,service-page,Monthly Budget Westminster,monthly-budget-westminster,financial-reporting-westminster,P3,Location-specific target page
37,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,Southwark,southwark,district,deliverable,service-page,Monthly Budget Southwark,monthly-budget-southwark,financial-reporting-southwark,P3,Location-specific target page
38,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,London Bridge,london-bridge,district,deliverable,service-page,Monthly Budget London Bridge,monthly-budget-london-bridge,financial-reporting-london-bridge,P3,Location-specific target page
39,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,King's Cross,kings-cross,district,deliverable,service-page,Monthly Budget King's Cross,monthly-budget-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
40,Financial Reporting,financial-reporting,Monthly Budget,monthly-budget,Farringdon,farringdon,district,deliverable,service-page,Monthly Budget Farringdon,monthly-budget-farringdon,financial-reporting-farringdon,P3,Location-specific target page
41,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,London,london,city,deliverable,service-page,Variance analysis London,variance-analysis-london,financial-reporting-london,P1,Location-specific target page
42,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,South East London,south-east-london,district,deliverable,service-page,Variance analysis South East London,variance-analysis-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
43,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,East London,east-london,district,deliverable,service-page,Variance analysis East London,variance-analysis-east-london,financial-reporting-east-london,P3,Location-specific target page
44,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,Manchester,manchester,city,deliverable,service-page,Variance analysis Manchester,variance-analysis-manchester,financial-reporting-manchester,P2,Location-specific target page
45,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,City of London,city-of-london,district,deliverable,service-page,Variance analysis City of London,variance-analysis-city-of-london,financial-reporting-city-of-london,P3,Location-specific target page
46,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,Westminster,westminster,district,deliverable,service-page,Variance analysis Westminster,variance-analysis-westminster,financial-reporting-westminster,P3,Location-specific target page
47,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,Southwark,southwark,district,deliverable,service-page,Variance analysis Southwark,variance-analysis-southwark,financial-reporting-southwark,P3,Location-specific target page
48,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,London Bridge,london-bridge,district,deliverable,service-page,Variance analysis London Bridge,variance-analysis-london-bridge,financial-reporting-london-bridge,P3,Location-specific target page
49,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,King's Cross,kings-cross,district,deliverable,service-page,Variance analysis King's Cross,variance-analysis-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
50,Financial Reporting,financial-reporting,Variance analysis,variance-analysis,Farringdon,farringdon,district,deliverable,service-page,Variance analysis Farringdon,variance-analysis-farringdon,financial-reporting-farringdon,P3,Location-specific target page
51,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,London,london,city,deliverable,service-page,Budget versus actual analysis London,budget-versus-actual-analysis-london,financial-reporting-london,P1,Location-specific target page
52,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,South East London,south-east-london,district,deliverable,service-page,Budget versus actual analysis South East London,budget-versus-actual-analysis-south-east-london,financial-reporting-south-east-london,P3,Location-specific target page
53,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,East London,east-london,district,deliverable,service-page,Budget versus actual analysis East London,budget-versus-actual-analysis-east-london,financial-reporting-east-london,P3,Location-specific target page
54,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,Manchester,manchester,city,deliverable,service-page,Budget versus actual analysis Manchester,budget-versus-actual-analysis-manchester,financial-reporting-manchester,P2,Location-specific target page
55,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,City of London,city-of-london,district,deliverable,service-page,Budget versus actual analysis City of London,budget-versus-actual-analysis-city-of-london,financial-reporting-city-of-london,P3,Location-specific target page
56,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,Westminster,westminster,district,deliverable,service-page,Budget versus actual analysis Westminster,budget-versus-actual-analysis-westminster,financial-reporting-westminster,P3,Location-specific target page
57,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,Southwark,southwark,district,deliverable,service-page,Budget versus actual analysis Southwark,budget-versus-actual-analysis-southwark,financial-reporting-southwark,P3,Location-specific target page
58,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,London Bridge,london-bridge,district,deliverable,service-page,Budget versus actual analysis London Bridge,budget-versus-actual-analysis-london-bridge,financial-reporting-london-bridge,P3,Location-specific target page
59,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,King's Cross,kings-cross,district,deliverable,service-page,Budget versus actual analysis King's Cross,budget-versus-actual-analysis-kings-cross,financial-reporting-kings-cross,P3,Location-specific target page
60,Financial Reporting,financial-reporting,Budget versus actual analysis,budget-versus-actual-analysis,Farringdon,farringdon,district,deliverable,service-page,Budget versus actual analysis Farringdon,budget-versus-actual-analysis-farringdon,financial-reporting-farringdon,P3,Location-specific target page
61,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,London,london,city,core-service,service-page,Cashflow Management London,cashflow-management-london,cashflow-management-london,P1,Location-specific target page
62,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,South East London,south-east-london,district,core-service,service-page,Cashflow Management South East London,cashflow-management-south-east-london,cashflow-management-south-east-london,P3,Location-specific target page
63,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,East London,east-london,district,core-service,service-page,Cashflow Management East London,cashflow-management-east-london,cashflow-management-east-london,P3,Location-specific target page
64,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,Manchester,manchester,city,core-service,service-page,Cashflow Management Manchester,cashflow-management-manchester,cashflow-management-manchester,P2,Location-specific target page
65,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,City of London,city-of-london,district,core-service,service-page,Cashflow Management City of London,cashflow-management-city-of-london,cashflow-management-city-of-london,P2,Location-specific target page
66,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,Westminster,westminster,district,core-service,service-page,Cashflow Management Westminster,cashflow-management-westminster,cashflow-management-westminster,P2,Location-specific target page
67,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,Southwark,southwark,district,core-service,service-page,Cashflow Management Southwark,cashflow-management-southwark,cashflow-management-southwark,P2,Location-specific target page
68,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,London Bridge,london-bridge,district,core-service,service-page,Cashflow Management London Bridge,cashflow-management-london-bridge,cashflow-management-london-bridge,P2,Location-specific target page
69,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,King's Cross,kings-cross,district,core-service,service-page,Cashflow Management King's Cross,cashflow-management-kings-cross,cashflow-management-kings-cross,P3,Location-specific target page
70,Cashflow Management,cashflow-management,Cashflow Management,cashflow-management,Farringdon,farringdon,district,core-service,service-page,Cashflow Management Farringdon,cashflow-management-farringdon,cashflow-management-farringdon,P3,Location-specific target page
71,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,London,london,city,support-service,service-page,Business Cash support London,business-cash-support-london,cashflow-management-london,P1,Location-specific target page
72,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,South East London,south-east-london,district,support-service,service-page,Business Cash support South East London,business-cash-support-south-east-london,cashflow-management-south-east-london,P3,Location-specific target page
73,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,East London,east-london,district,support-service,service-page,Business Cash support East London,business-cash-support-east-london,cashflow-management-east-london,P3,Location-specific target page
74,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,Manchester,manchester,city,support-service,service-page,Business Cash support Manchester,business-cash-support-manchester,cashflow-management-manchester,P2,Location-specific target page
75,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,City of London,city-of-london,district,support-service,service-page,Business Cash support City of London,business-cash-support-city-of-london,cashflow-management-city-of-london,P3,Location-specific target page
76,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,Westminster,westminster,district,support-service,service-page,Business Cash support Westminster,business-cash-support-westminster,cashflow-management-westminster,P3,Location-specific target page
77,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,Southwark,southwark,district,support-service,service-page,Business Cash support Southwark,business-cash-support-southwark,cashflow-management-southwark,P3,Location-specific target page
78,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,London Bridge,london-bridge,district,support-service,service-page,Business Cash support London Bridge,business-cash-support-london-bridge,cashflow-management-london-bridge,P3,Location-specific target page
79,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,King's Cross,kings-cross,district,support-service,service-page,Business Cash support King's Cross,business-cash-support-kings-cross,cashflow-management-kings-cross,P3,Location-specific target page
80,Cashflow Management,cashflow-management,Business Cash support,business-cash-support,Farringdon,farringdon,district,support-service,service-page,Business Cash support Farringdon,business-cash-support-farringdon,cashflow-management-farringdon,P3,Location-specific target page
81,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,London,london,city,support-service,service-page,Business Finance support London,business-finance-support-london,cashflow-management-london,P1,Location-specific target page
82,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,South East London,south-east-london,district,support-service,service-page,Business Finance support South East London,business-finance-support-south-east-london,cashflow-management-south-east-london,P3,Location-specific target page
83,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,East London,east-london,district,support-service,service-page,Business Finance support East London,business-finance-support-east-london,cashflow-management-east-london,P3,Location-specific target page
84,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,Manchester,manchester,city,support-service,service-page,Business Finance support Manchester,business-finance-support-manchester,cashflow-management-manchester,P2,Location-specific target page
85,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,City of London,city-of-london,district,support-service,service-page,Business Finance support City of London,business-finance-support-city-of-london,cashflow-management-city-of-london,P3,Location-specific target page
86,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,Westminster,westminster,district,support-service,service-page,Business Finance support Westminster,business-finance-support-westminster,cashflow-management-westminster,P3,Location-specific target page
87,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,Southwark,southwark,district,support-service,service-page,Business Finance support Southwark,business-finance-support-southwark,cashflow-management-southwark,P3,Location-specific target page
88,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,London Bridge,london-bridge,district,support-service,service-page,Business Finance support London Bridge,business-finance-support-london-bridge,cashflow-management-london-bridge,P3,Location-specific target page
89,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,King's Cross,kings-cross,district,support-service,service-page,Business Finance support King's Cross,business-finance-support-kings-cross,cashflow-management-kings-cross,P3,Location-specific target page
90,Cashflow Management,cashflow-management,Business Finance support,business-finance-support,Farringdon,farringdon,district,support-service,service-page,Business Finance support Farringdon,business-finance-support-farringdon,cashflow-management-farringdon,P3,Location-specific target page
91,Cashflow Management,cashflow-management,Startup finance,startup-finance,London,london,city,audience,audience-page,Startup finance London,startup-finance-london,cashflow-management-london,P1,Location-specific target page
92,Cashflow Management,cashflow-management,Startup finance,startup-finance,South East London,south-east-london,district,audience,audience-page,Startup finance South East London,startup-finance-south-east-london,cashflow-management-south-east-london,P3,Location-specific target page
93,Cashflow Management,cashflow-management,Startup finance,startup-finance,East London,east-london,district,audience,audience-page,Startup finance East London,startup-finance-east-london,cashflow-management-east-london,P3,Location-specific target page
94,Cashflow Management,cashflow-management,Startup finance,startup-finance,Manchester,manchester,city,audience,audience-page,Startup finance Manchester,startup-finance-manchester,cashflow-management-manchester,P2,Location-specific target page
95,Cashflow Management,cashflow-management,Startup finance,startup-finance,City of London,city-of-london,district,audience,audience-page,Startup finance City of London,startup-finance-city-of-london,cashflow-management-city-of-london,P3,Location-specific target page
96,Cashflow Management,cashflow-management,Startup finance,startup-finance,Westminster,westminster,district,audience,audience-page,Startup finance Westminster,startup-finance-westminster,cashflow-management-westminster,P3,Location-specific target page
97,Cashflow Management,cashflow-management,Startup finance,startup-finance,Southwark,southwark,district,audience,audience-page,Startup finance Southwark,startup-finance-southwark,cashflow-management-southwark,P3,Location-specific target page
98,Cashflow Management,cashflow-management,Startup finance,startup-finance,London Bridge,london-bridge,district,audience,audience-page,Startup finance London Bridge,startup-finance-london-bridge,cashflow-management-london-bridge,P3,Location-specific target page
99,Cashflow Management,cashflow-management,Startup finance,startup-finance,King's Cross,kings-cross,district,audience,audience-page,Startup finance King's Cross,startup-finance-kings-cross,cashflow-management-kings-cross,P3,Location-specific target page
100,Cashflow Management,cashflow-management,Startup finance,startup-finance,Farringdon,farringdon,district,audience,audience-page,Startup finance Farringdon,startup-finance-farringdon,cashflow-management-farringdon,P3,Location-specific target page
101,Generic,generic,Finance support,finance-support,London,london,city,generic-service,service-page,Finance support London,finance-support-london,generic-london,P1,Location-specific target page
102,Generic,generic,Finance support,finance-support,South East London,south-east-london,district,generic-service,service-page,Finance support South East London,finance-support-south-east-london,generic-south-east-london,P3,Location-specific target page
103,Generic,generic,Finance support,finance-support,East London,east-london,district,generic-service,service-page,Finance support East London,finance-support-east-london,generic-east-london,P3,Location-specific target page
104,Generic,generic,Finance support,finance-support,Manchester,manchester,city,generic-service,service-page,Finance support Manchester,finance-support-manchester,generic-manchester,P2,Location-specific target page
105,Generic,generic,Finance support,finance-support,City of London,city-of-london,district,generic-service,service-page,Finance support City of London,finance-support-city-of-london,generic-city-of-london,P3,Location-specific target page
106,Generic,generic,Finance support,finance-support,Westminster,westminster,district,generic-service,service-page,Finance support Westminster,finance-support-westminster,generic-westminster,P3,Location-specific target page
107,Generic,generic,Finance support,finance-support,Southwark,southwark,district,generic-service,service-page,Finance support Southwark,finance-support-southwark,generic-southwark,P3,Location-specific target page
108,Generic,generic,Finance support,finance-support,London Bridge,london-bridge,district,generic-service,service-page,Finance support London Bridge,finance-support-london-bridge,generic-london-bridge,P3,Location-specific target page
109,Generic,generic,Finance support,finance-support,King's Cross,kings-cross,district,generic-service,service-page,Finance support King's Cross,finance-support-kings-cross,generic-kings-cross,P3,Location-specific target page
110,Generic,generic,Finance support,finance-support,Farringdon,farringdon,district,generic-service,service-page,Finance support Farringdon,finance-support-farringdon,generic-farringdon,P3,Location-specific target page
111,Generic,generic,Finance help,finance-help,London,london,city,generic-service,service-page,Finance help London,finance-help-london,generic-london,P1,Location-specific target page
112,Generic,generic,Finance help,finance-help,South East London,south-east-london,district,generic-service,service-page,Finance help South East London,finance-help-south-east-london,generic-south-east-london,P3,Location-specific target page
113,Generic,generic,Finance help,finance-help,East London,east-london,district,generic-service,service-page,Finance help East London,finance-help-east-london,generic-east-london,P3,Location-specific target page
114,Generic,generic,Finance help,finance-help,Manchester,manchester,city,generic-service,service-page,Finance help Manchester,finance-help-manchester,generic-manchester,P2,Location-specific target page
115,Generic,generic,Finance help,finance-help,City of London,city-of-london,district,generic-service,service-page,Finance help City of London,finance-help-city-of-london,generic-city-of-london,P3,Location-specific target page
116,Generic,generic,Finance help,finance-help,Westminster,westminster,district,generic-service,service-page,Finance help Westminster,finance-help-westminster,generic-westminster,P3,Location-specific target page
117,Generic,generic,Finance help,finance-help,Southwark,southwark,district,generic-service,service-page,Finance help Southwark,finance-help-southwark,generic-southwark,P3,Location-specific target page
118,Generic,generic,Finance help,finance-help,London Bridge,london-bridge,district,generic-service,service-page,Finance help London Bridge,finance-help-london-bridge,generic-london-bridge,P3,Location-specific target page
119,Generic,generic,Finance help,finance-help,King's Cross,kings-cross,district,generic-service,service-page,Finance help King's Cross,finance-help-kings-cross,generic-kings-cross,P3,Location-specific target page
120,Generic,generic,Finance help,finance-help,Farringdon,farringdon,district,generic-service,service-page,Finance help Farringdon,finance-help-farringdon,generic-farringdon,P3,Location-specific target page
121,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,London,london,city,core-service,service-page,Monthly CFO London,monthly-cfo-london,monthly-cfo-london,P1,Location-specific target page
122,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,South East London,south-east-london,district,core-service,service-page,Monthly CFO South East London,monthly-cfo-south-east-london,monthly-cfo-south-east-london,P3,Location-specific target page
123,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,East London,east-london,district,core-service,service-page,Monthly CFO East London,monthly-cfo-east-london,monthly-cfo-east-london,P3,Location-specific target page
124,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,Manchester,manchester,city,core-service,service-page,Monthly CFO Manchester,monthly-cfo-manchester,monthly-cfo-manchester,P2,Location-specific target page
125,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,City of London,city-of-london,district,core-service,service-page,Monthly CFO City of London,monthly-cfo-city-of-london,monthly-cfo-city-of-london,P2,Location-specific target page
126,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,Westminster,westminster,district,core-service,service-page,Monthly CFO Westminster,monthly-cfo-westminster,monthly-cfo-westminster,P2,Location-specific target page
127,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,Southwark,southwark,district,core-service,service-page,Monthly CFO Southwark,monthly-cfo-southwark,monthly-cfo-southwark,P2,Location-specific target page
128,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,London Bridge,london-bridge,district,core-service,service-page,Monthly CFO London Bridge,monthly-cfo-london-bridge,monthly-cfo-london-bridge,P2,Location-specific target page
129,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,King's Cross,kings-cross,district,core-service,service-page,Monthly CFO King's Cross,monthly-cfo-kings-cross,monthly-cfo-kings-cross,P3,Location-specific target page
130,Monthly CFO,monthly-cfo,Monthly CFO,monthly-cfo,Farringdon,farringdon,district,core-service,service-page,Monthly CFO Farringdon,monthly-cfo-farringdon,monthly-cfo-farringdon,P3,Location-specific target page
131,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,London,london,city,delivery-model,service-page,Outsourced accountant London,outsourced-accountant-london,monthly-cfo-london,P1,Location-specific target page
132,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,South East London,south-east-london,district,delivery-model,service-page,Outsourced accountant South East London,outsourced-accountant-south-east-london,monthly-cfo-south-east-london,P3,Location-specific target page
133,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,East London,east-london,district,delivery-model,service-page,Outsourced accountant East London,outsourced-accountant-east-london,monthly-cfo-east-london,P3,Location-specific target page
134,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,Manchester,manchester,city,delivery-model,service-page,Outsourced accountant Manchester,outsourced-accountant-manchester,monthly-cfo-manchester,P2,Location-specific target page
135,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,City of London,city-of-london,district,delivery-model,service-page,Outsourced accountant City of London,outsourced-accountant-city-of-london,monthly-cfo-city-of-london,P3,Location-specific target page
136,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,Westminster,westminster,district,delivery-model,service-page,Outsourced accountant Westminster,outsourced-accountant-westminster,monthly-cfo-westminster,P3,Location-specific target page
137,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,Southwark,southwark,district,delivery-model,service-page,Outsourced accountant Southwark,outsourced-accountant-southwark,monthly-cfo-southwark,P3,Location-specific target page
138,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,London Bridge,london-bridge,district,delivery-model,service-page,Outsourced accountant London Bridge,outsourced-accountant-london-bridge,monthly-cfo-london-bridge,P3,Location-specific target page
139,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,King's Cross,kings-cross,district,delivery-model,service-page,Outsourced accountant King's Cross,outsourced-accountant-kings-cross,monthly-cfo-kings-cross,P3,Location-specific target page
140,Monthly CFO,monthly-cfo,Outsourced accountant,outsourced-accountant,Farringdon,farringdon,district,delivery-model,service-page,Outsourced accountant Farringdon,outsourced-accountant-farringdon,monthly-cfo-farringdon,P3,Location-specific target page
141,Monthly CFO,monthly-cfo,Freelance accountant,freelance-accountant,London,london,city,delivery-model,service-page,Freelance accountant London,freelance-accountant-london,monthly-cfo-london,P1,Location-specific target page
142,Monthly CFO,monthly-cfo,Freelance accountant,freelance-accountant,South East London,south-east-london,district,delivery-model,service-page,Freelance accountant South East London,freelance-accountant-south-east-london,monthly-cfo-south-east-london,P3,Location-specific target page
143,Monthly CFO,monthly-cfo,Freelance accountant,freelance-accountant,East London,east-london,district,delivery-model,service-page,Freelance accountant East London,freelance-accountant-east-london,monthly-cfo-east-london,P3,Location-specific target page
144,Monthly CFO,monthly-cfo,Freelance accountant,freelance-accountant,Manchester,manchester,city,delivery-model,service-page,Freelance accountant Manchester,freelance-accountant-manchester,monthly-cfo-manchester,P2,Location-specific target page
