row_id,service,keyword_group,location,page_type,template_type,target_keyword,suggested_slug,parent_page_slug,priority
201,Monthly CFO,Monthly Financial Reports,London,deliverable,service-page,Monthly Financial Reports London,monthly-financial-reports-london,monthly-cfo-london,P1
221,Monthly CFO,Monthly Management Meetings,London,deliverable,service-page,Monthly Management Meetings London,monthly-management-meetings-london,monthly-cfo-london,P1
141,Monthly CFO,Freelance accountant,London,delivery-model,service-page,Freelance accountant London,freelance-accountant-london,monthly-cfo-london,P1
131,Monthly CFO,Outsourced accountant,London,delivery-model,service-page,Outsourced accountant London,outsourced-accountant-london,monthly-cfo-london,P1
311,Monthly CFO,Virtual CFO,London,delivery-model,service-page,Virtual CFO London,virtual-cfo-london,monthly-cfo-london,P1
181,Monthly CFO,Finance help,London,generic-service,service-page,Finance help London,finance-help-london,monthly-cfo-london,P1
261,Monthly CFO,Monthly Financial Review Checklist,London,informational,guide-page,Monthly Financial Review Checklist London,monthly-financial-review-checklist-london,monthly-cfo-london,P1
291,Monthly CFO,Monthly Financial review,London,informational,guide-page,Monthly Financial review London,monthly-financial-review-london,monthly-cfo-london,P1
331,Monthly CFO,how to hire a fractional cfo,London,informational,guide-page,how to hire a fractional cfo London,how-to-hire-a-fractional-cfo-london,monthly-cfo-london,P1
351,Monthly CFO,what does a fractional cfo do,London,informational,guide-page,what does a fractional cfo do London,what-does-a-fractional-cfo-do-london,monthly-cfo-london,P1
361,Monthly CFO,what is fractional cfo,London,informational,guide-page,what is fractional cfo London,what-is-fractional-cfo-london,monthly-cfo-london,P1
341,Monthly CFO,fractional cfo uk,London,national-intent,landing-page,fractional cfo uk London,fractional-cfo-uk-london,monthly-cfo-london,P1
301,Monthly CFO,FInancial controller,London,role-based,service-page,FInancial controller London,financial-controller-london,monthly-cfo-london,P1
151,Monthly CFO,Finance director support,London,support-service,service-page,Finance director support London,finance-director-support-london,monthly-cfo-london,P1
161,Monthly CFO,Finance team,London,team-model,service-page,Finance team London,finance-team-london,monthly-cfo-london,P1
171,Monthly CFO,Part-time finance team,London,team-model,service-page,Part-time finance team London,part-time-finance-team-london,monthly-cfo-london,P1
321,Monthly CFO,Hire a fractional cfo,London,transactional,landing-page,Hire a fractional cfo London,hire-a-fractional-cfo-london,monthly-cfo-london,P1
